,gmaps_name,gmaps_address,gmaps_latitude,gmaps_longitude,composite_score,yelp_types,gmaps_types,type
13,Hooters,"209 Peachtree St NE, Atlanta, GA 30303",33.7595191,-84.3874556,0.5043478287,"nightlife, restaurants, american traditional, burgers, chicken wings, bars, sports bars","mealdelivery, mealtakeaway, bar, restaurant, food",food
14,Foxx Original Jamaican Restaurant,"378 Edgewood Ave SE, Atlanta, GA 30312",33.7544931,-84.3752964,0.6506619096,"food, caribbean, specialty food, restaurants","restaurant, food",food
15,The Iberian Pig,"3150 Roswell Rd NW Suite A3, Atlanta, GA 30305",33.8410438,-84.3793324,0.8511348716,"nightlife, tapas bars, restaurants, bars, beer bar, spanish, burgers","restaurant, food",food
16,Tacos & Tequilas Mexican Grill,"650 Ponce De Leon Ave NE, Atlanta, GA 30308",33.773801,-84.3667976,0.7427648899,"mexican, restaurants","restaurant, food",food
17,The Bookhouse Pub,"736 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7743972,-84.3626944,0.725879288,"nightlife, pubs, restaurants, bars","bar, restaurant, food",food
18,The BQE Restaurant & Lounge,"262 Edgewood Ave NE, Atlanta, GA 30303",33.754583,-84.3791614,0.7082670588,"soul food, restaurants, southern, nightlife, lounges, breakfast  brunch, bars","bar, restaurant, food",food
19,Bulla Gastrobar,"60 11th St NE, Atlanta, GA 30309",33.7835245,-84.3847277,0.8839161154,"mediterranean, restaurants, tapassmall plates, spanish, gastropubs, tapas bars","bar, restaurant, food",food
20,H&F Burger,"675 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7728431,-84.3653233,0.6732526118,"restaurants, burgers, american traditional","restaurant, food",food
21,Gokul Sweets,"1707 Church Street, 8 C-8 C, Decatur, GA 30033, United States",33.7969582,-84.2809346,0.576073619,"indian, restaurants, food, bakeries, desserts, vegetarian","restaurant, food",food
22,Zunzi's,"1971 Howell Mill Rd, Atlanta, GA 30318",33.8084873,-84.4126106,0.837859767,"african, restaurants, sandwiches, south african, caterers, event planning  services","restaurant, food",food
23,Hearth Pizza Tavern,"5992 Roswell Rd NE, Sandy Springs, GA 30328",33.918662,-84.381771,0.781523406,"restaurants, gastropubs, american new, american traditional, pizza","mealdelivery, mealtakeaway, bar, restaurant, food",food
24,Big Easy Snoballs,"728 Monroe Dr NE ste a, Atlanta, GA 30308, United States",33.7743895,-84.3712122,0.6750596723,"shaved snow, shaved ice, juice bars  smoothies, desserts, restaurants, cajuncreole, food",food,food
25,The Capital Grille,"255 East Paces Ferry Rd NE, Atlanta, GA 30305",33.8388289,-84.3791169,0.8560780234,"american traditional, bars, steakhouses, seafood, wine bars, restaurants, nightlife","bar, restaurant, food",food
26,Mediterranean Grill,"985 Monroe Dr NE, Atlanta, GA 30308",33.781347,-84.36833,0.7520616943,"mediterranean, restaurants, middle eastern, greek","restaurant, food",food
27,Panera Bread,"3714 Roswell Rd NE, Atlanta, GA 30342",33.856526,-84.382783,0.48078768,"soup, salad, bakeries, bagels, breakfast  brunch, restaurants, food, sandwiches, american traditional","cafe, mealtakeaway, bakery, restaurant, food",food
28,Bell Street Burritos,"112 Krog St NE #1A, Atlanta, GA 30307",33.7558284,-84.3650359,0.6745571608,"mexican, restaurants","restaurant, food",food
29,The One Sushi+,"2523 Caldwell Rd NE Ste 1000, Brookhaven, GA 30319",33.8611683,-84.3319536,0.7327484893,"salad, thai, restaurants, asian fusion, sushi bars, tapas bars, japanese","restaurant, food",food
30,Gypsy Kitchen,"3035 Peachtree Rd NE Ste A209, Atlanta, GA 30305",33.8379035,-84.3806417,0.8081239645,"restaurants, spanish, tapassmall plates, moroccan, cocktail bars, bars, nightlife","bar, restaurant, food",food
31,Sidechick,"125 Clairemont Ave, Decatur, GA 30030",33.7764512,-84.2959594,0.7884076689,"salad, sandwiches, american new, diners, restaurants, american traditional, chicken shop, breakfast  brunch","restaurant, food",food
32,Yebisuya,"6035 Peachtree Rd #A-105, Doraville, GA 30360",33.9078137,-84.286817,0.6842739378,"nightlife, ramen, restaurants, sushi bars, japanese, bars, asian fusion","restaurant, food",food
33,Calle Latina,"627 E College Ave Suite A, Decatur, GA 30030",33.7732744,-84.2856253,0.7530111567,"peruvian, desserts, caterers, restaurants, specialty food, food, latin american, event planning  services, ethnic food","restaurant, food",food
34,Minero,"675 Ponce De Leon Ave NE UNIT 136, Atlanta, GA 30308",33.7728558,-84.3657408,0.6937753094,"restaurants, mexican, nightlife, bars","restaurant, food",food
35,Starbucks,"550 Peachtree St NE, Atlanta, GA 30308",33.7685663,-84.3861178,0.4981684657,"food, food stands, sandwiches, coffee  tea, restaurants","cafe, food",food
36,Aviva by Kameel Midtown,"756 W Peachtree St NW suite G, Atlanta, GA 30332",33.7755261,-84.3880798,0.8548650228,"restaurants, middle eastern, mediterranean","restaurant, food",food
37,Trade Root,"3434 Peachtree Rd NE, Atlanta, GA 30326",33.8505771,-84.3636634,0.6048419428,"southern, restaurants, mediterranean, american new","restaurant, food",food
38,Mozart Bakery,"5301 Buford Hwy NE, Atlanta, GA 30340",33.8967006,-84.2808411,0.6594856156,"korean, bakeries, food, restaurants, bubble tea","bakery, cafe, food",food
39,La Casona Colombian Restaurant,"3820 Stewart Rd, Doraville, GA 30340",33.9027158,-84.2759199,0.7417990849,"mexican, latin american, restaurants, colombian","restaurant, food",food
40,Blue Ridge Grill,"1261 W Paces Ferry Rd NW, Atlanta, GA 30327",33.8496473,-84.4292192,0.7774230822,"bars, seafood, american new, restaurants, nightlife, american traditional, steakhouses","restaurant, food",food
41,Chipotle Mexican Grill,"718 Ponce De Leon Ave NE, Atlanta, GA 30306",33.7739218,-84.3635653,0.5275363615,"restaurants, fast food, mexican","restaurant, food",food
42,Snackboxe Bistro,"6035 Peachtree Rd Suite C-114, Doraville, GA 30360",33.9090083,-84.288057,0.7706870387,"soup, laotian, asian fusion, restaurants","restaurant, food",food
43,Muchacho,"904 Memorial Dr SE, Atlanta, GA 30316",33.7467732,-84.3579816,0.762914857,"food, cafes, restaurants, coffee roasteries, mexican, tacos, coffee  tea","bar, cafe, restaurant, food",food
44,Nuts 'n Berries,"4274 Peachtree Rd, Brookhaven, GA 30319, United States",33.8679911,-84.335668,0.7831612771,"food, nutritionists, counseling  mental health, fruits  veggies, local flavor, restaurants, fitness  instruction, health  medical, specialty food, yoga, active life, vegetarian, gyms, health markets",health,restaurant
45,Kyma,"3085 Piedmont Rd NE, Atlanta, GA 30305",33.839858,-84.3690368,0.7744065276,"vegan, restaurants, seafood, mediterranean, greek","bar, restaurant, food",food
46,The Brass Tap,"4505 Ashford Dunwoody Rd Suite 32, Atlanta, GA 30346",33.9248539,-84.3360458,0.6899405611,"sports bars, restaurants, beer bar, gastropubs, burgers, american new, beer gardens, nightlife, salad, mediterranean, bars",bar,bar
47,McDonald's,"1994 Howell Mill Rd, Atlanta, GA 30318",33.8092173,-84.4132282,0.3601593695,"fast food, burgers, restaurants, coffee  tea, food","restaurant, cafe, food",food
48,STK Steakhouse,"1075 Peachtree St NE, Atlanta, GA 30309",33.7840453,-84.3827642,0.8236805563,"nightlife, steakhouses, bars, fast food, cocktail bars, restaurants, american new","nightclub, bar, restaurant, food",nightclub
49,Marlow's Tavern,"950 W Peachtree St NW #215, Atlanta, GA 30309",33.7796863,-84.3874931,0.7822888313,"restaurants, bars, pubs, nightlife, american new, burgers, gastropubs","beautysalon, bar, restaurant, food",food
50,The Bird,"4719 Ashford Dunwoody Rd Suite 101, Dunwoody, GA 30338",33.931956,-84.3324065,0.6774105024,"bars, nightlife, restaurants, american traditional, chicken wings, sports bars","bar, restaurant, food",food
51,Summit Cafeteria,"30 Marietta St NW, Atlanta, GA 30303",33.7549918,-84.3908743,0.5318843448,"restaurants, barbeque, american traditional","restaurant, food",food
52,Mellow Mushroom Atlanta - Emory,"1679 Lavista Rd NE, Atlanta, GA 30329",33.816166,-84.332824,0.7488120634,"pizza, restaurants, nightlife, bars, sandwiches","restaurant, food",food
53,The Warren City Club,"818 North Highland Avenue Northeast, Atlanta, GA 30306, United States",33.7768488,-84.3526178,0.6736355604,"bars, venues  event spaces, event planning  services, breakfast  brunch, nightlife, american new, restaurants, lounges","nightclub, bar, restaurant, food",nightclub
54,Hard Rock Cafe,"215 Peachtree St NE, Atlanta, GA 30303",33.7598163,-84.3874499,0.6620460777,"restaurants, venues  event spaces, burgers, event planning  services, arts  entertainment, american new, music venues, american traditional, nightlife","bar, restaurant, food",food
55,Fia Restaurant,"3600 Piedmont Rd NE, Atlanta, GA 30305",33.8525078,-84.3813308,0.7929877818,"restaurants, american new, mediterranean, seafood","restaurant, food",food
56,Vino Venue,"Shopping Center, 4478 Chamblee Dunwoody Road Georgetown, Atlanta, GA 30338, United States",33.9211942,-84.3158932,0.7560338711,"arts  crafts, nightlife, american new, cooking classes, bars, education, tasting classes, wine tasting classes, cooking schools, restaurants, tapas bars, shopping, specialty schools, wine bars","restaurant, liquorstore, bar, food",food
57,Abuelos Mexican Kitchen and Cantina,"6631 Roswell Rd, Sandy Springs, GA 30328",33.936241,-84.376587,0.7571442589,"seafood, soup, tapas bars, new mexican cuisine, texmex, mexican, restaurants, salad","bar, restaurant, food",food
58,Eight Sushi Lounge,"930 Howell Mill Rd NW, Atlanta, GA 30318",33.7800074,-84.4118482,0.8688347414,"cocktail bars, lounges, bars, restaurants, japanese, nightlife, sushi bars","restaurant, food",food
59,Happy Karaoke,"5425 Buford Hwy NE, Doraville, GA 30340",33.9000858,-84.2772021,0.6637414989,"bars, korean, nightlife, karaoke, afghan, restaurants","nightclub, bar, restaurant, food",nightclub
60,The Ivy,"3717 Roswell Rd, Atlanta, GA 30342",33.8564887,-84.3822079,0.6253167524,"sports bars, bars, american new, venues  event spaces, restaurants, event planning  services, food, nightlife, gastropubs","bar, restaurant, food",food
61,Gibney's Pub,"231 Peachtree Center Ave NE, Atlanta, GA 30303",33.7603573,-84.3862048,0.6807701427,"pubs, nightlife, restaurants, bars, american traditional","restaurant, bar, food",food
62,Sweet-Stack Creamery,"25 Piedmont Ave NE, Atlanta, GA 30303, United States",33.7552212,-84.3820736,0.7979498772,"restaurants, ice cream  frozen yogurt, desserts, vegan, food, donuts","bakery, touristattraction, restaurant, food",food
63,The Oceanaire Seafood Room,"1100 Peachtree St NE, Atlanta, GA 30309",33.7846271,-84.3832344,0.717033552,"seafood, restaurants, american traditional","restaurant, food",food
64,Double Zero,"1577 N Decatur Rd, Atlanta, GA 30307",33.7879758,-84.3261946,0.774885608,"italian, restaurants, pizza, bars, cocktail bars, nightlife, american new","restaurant, food",food
65,Willy's Mexicana Grill,"1920 Howell Mill Rd NW, Atlanta, GA 30318",33.8072884,-84.4131375,0.6982277991,"restaurants, mexican, fast food","restaurant, food",food
66,Little Thai Cuisine,"220 Sandy Springs Cir #209, Sandy Springs, GA 30328",33.9256733,-84.3834892,0.748251797,"noodles, restaurants, soup, thai","restaurant, food",food
67,Twin Peaks,"3365 Piedmont Rd NE, Atlanta, GA 30305",33.8474539,-84.372827,0.694188051,"bars, american traditional, sports bars, nightlife, comfort food, american new, restaurants","bar, restaurant, food",food
68,Chipotle Mexican Grill,"1401 Oxford Rd NE, Atlanta, GA 30307",33.7886373,-84.3266597,0.5245581867,"restaurants, mexican, fast food","restaurant, food",food
69,BeetleCat,"299 North Highland Avenue Northeast, Atlanta, GA 30307",33.7626776,-84.3582131,0.7995611388,"seafood, desserts, restaurants, bars, food, nightlife","bar, restaurant, food",food
70,Bellaggio's Ice-Cream,"5805 Buford Hwy NE # C1, Doraville, GA 30340, United States",33.9088107,-84.2663051,0.7723741336,"juice bars  smoothies, ice cream  frozen yogurt, mexican, latin american, food, restaurants",food,food
71,Goldbergs Fine Foods - Toco Hills,"3003 N Druid Hills Rd, Atlanta, GA 30329",33.8131678,-84.3101588,0.7145422163,"event planning  services, bagels, food, restaurants, delis, caterers, sandwiches","restaurant, bakery, food",food
72,no. 246,"129 E Ponce de Leon Ave, Decatur, GA 30030",33.775504,-84.2953432,0.7992731632,"restaurants, chinese, italian","bar, restaurant, food",food
73,Crazy Skewers,"6035 Peachtree Rd A118, Doraville, GA 30360",33.9075172,-84.2875637,0.685765917,"barbers, chinese, beauty  spas, restaurants, hot pot, asian fusion","restaurant, food",food
74,Thaicoon & Sushi Bar,"1799 Briarcliff Rd NE Suite W, Atlanta, GA 30306",33.8044728,-84.3355967,0.7740734172,"restaurants, sushi bars, thai, japanese","restaurant, food",food
75,Buckhead Bread Company,"3070 Piedmont Rd NE, Atlanta, GA 30305",33.8392118,-84.3694866,0.6326103309,"food, restaurants, bakeries","bakery, food",food
76,Tropical Smoothie Cafe,"5840 Roswell Rd, Sandy Springs, GA 30328",33.914766,-84.380175,0.5293748196,"specialty food, juice bars  smoothies, restaurants, sandwiches, cafes, wraps, health markets, food","cafe, restaurant, food",food
77,NM Cafe,"3393 Peachtree Rd NE, Atlanta, GA 30326",33.8462008,-84.363801,0.6361733983,"american new, restaurants, cafes","restaurant, cafe, bar, food",food
78,Coffee Loft,"322 Peters St SW, Atlanta, GA 30313",33.7459083,-84.4031996,0.7565633016,"cafes, caterers, themed cafes, fashion, restaurants, event planning  services, food, coffee  tea, shopping, used, vintage  consignment, arts  entertainment, art galleries","cafe, food",food
79,The Whelan,"1133 Huff Rd NW, Atlanta, GA 30318",33.7891432,-84.4261825,0.7047212307,"bars, pubs, nightlife, american new, restaurants, african, pool halls, south african","bar, restaurant, food",food
80,Cafe Agora,"318 East Paces Ferry Rd NE, Atlanta, GA 30305",33.8395532,-84.3774162,0.781584453,"turkish, restaurants, mediterranean, greek","restaurant, food",food
81,Alma Cocina Buckhead,"Terminus 100, 3280 Peachtree Rd NE #100, Atlanta, GA 30305",33.8444521,-84.3706452,0.7747303579,"mexican, restaurants","restaurant, food",food
82,BoccaLupo,"753 Edgewood Ave NE, Atlanta, GA 30307",33.7548191,-84.3627885,0.8439339813,"restaurants, italian, american traditional","restaurant, food",food
83,Bao Bun Hibachi,"1715 Howell Mill Rd NW Suite # C15-A, Atlanta, GA 30318",33.8011912,-84.4134362,0.8153097967,"restaurants, chinese, taiwanese, asian fusion","restaurant, food",food
84,Cook Out,"544 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7741757,-84.3691819,0.6719715918,"desserts, fast food, hot dogs, american traditional, burgers, food, restaurants","restaurant, food",food
85,Wagaya - Emory Village,"1579 N Decatur Rd, Atlanta, GA 30307",33.7879848,-84.326012,0.735512024,"sushi bars, japanese, noodles, seafood, restaurants","restaurant, food",food
86,Industry Tavern,"3280 Peachtree Rd NE #187, Atlanta, GA 30305",33.8451745,-84.3713644,0.7769079309,"restaurants, nightlife, food, beer, wine  spirits, sports bars, american new, breakfast  brunch, bars, pizza","bar, restaurant, food",food
87,Park Bar,"150 Walton St NW, Atlanta, GA 30303",33.7581973,-84.3927991,0.7723870118,"bars, burgers, nightlife, restaurants","bar, restaurant, food",food
88,The Imperial,"726 W College Ave, Decatur, GA 30030",33.7661111,-84.3063889,0.7598397577,"bars, nightlife, pubs, restaurants",bar,bar
89,Maple Street Biscuit Company,"1085 Howell Mill Rd, Atlanta, GA 30318",33.7846004,-84.4116244,0.6509885156,"coffee roasteries, acai bowls, comfort food, sandwiches, food, restaurants","restaurant, food",food
90,Lure,"1106 Crescent Ave NE, Atlanta, GA 30309",33.7850084,-84.3844183,0.7869210954,"nightlife, restaurants, bars, arts  entertainment, music venues, breakfast  brunch, seafood","restaurant, food",food
91,Sweet & Fresh,"708 Spring St NW, Atlanta, GA 30308, United States",33.7740199,-84.3890405,0.521446267,"salad, juice bars  smoothies, bubble tea, burgers, desserts, restaurants, chicken wings, food","restaurant, mealtakeaway, cafe, food",food
92,10 High Club,"816 North Highland Avenue Northeast, Atlanta, GA 30306, United States",33.7767755,-84.3526953,0.5935178259,"nightlife, bars, restaurants, burgers, karaoke, music venues, arts  entertainment, tapas bars","nightclub, bar",nightclub
93,Bully Boy,"828 Ralph McGill Blvd NE, Atlanta, GA 30306",33.7687334,-84.3607037,0.7585872274,"nightlife, food, cocktail bars, bars, seafood, restaurants, beer, wine  spirits, chicken wings","restaurant, bar, food",food
94,Taco Bell,"1761 Howell Mill Rd NW, Atlanta, GA 30318",33.8020738,-84.4147128,0.5389468275,"restaurants, texmex, tacos, mexican, fast food, breakfast  brunch","mealtakeaway, restaurant, food",food
95,noodle,"205 E Ponce de Leon Ave, Decatur, GA 30030",33.7753869,-84.2945646,0.630503262,"vietnamese, sushi bars, asian fusion, pan asian, noodles, japanese, restaurants, thai","restaurant, food",food
96,Thumbs Up Diner,"573 Edgewood Ave SE, Atlanta, GA 30312",33.7540864,-84.36852,0.8064836286,"diners, food, smokehouse, breakfast  brunch, restaurants","restaurant, food",food
97,D'essence Cafe,"3056 Bayard St, East Point, GA 30344",33.6716667,-84.4313889,0.6017121737,"bed  breakfast, coffee  tea, soul food, restaurants, breakfast  brunch, food, seafood, hotels  travel","restaurant, cafe, food",food
98,Fox Bros. Bar-B-Q,"1238 DeKalb Ave NE, Atlanta, GA 30307",33.761116,-84.3474944,0.8975238388,"southern, restaurants, barbeque, american traditional","bar, restaurant, food",food
99,Max Lager's Wood-Fired Grill & Brewery,"320 Peachtree St NE, Atlanta, GA 30308",33.7633384,-84.3869351,0.7046771567,"nightlife, american traditional, pizza, brewpubs, restaurants, pubs, sports bars, bars, breweries, food","bar, restaurant, food",food
100,Las Brasas,"614 Church St, Decatur, GA 30030",33.7782789,-84.2951354,0.7568647617,"restaurants, latin american, peruvian","restaurant, food",food
101,ADios Cafe,"180 Walker St SW ste d, Atlanta, GA 30313",33.7498833,-84.4009735,0.8172923021,"desserts, restaurants, breakfast  brunch, food, chocolatiers  shops, coffee  tea, specialty food","bar, restaurant, cafe, food",food
102,Apres Diem,"931 Monroe Dr NE St C103, Atlanta, GA 30308",33.7791667,-84.3672222,0.7294847895,"coffee  tea, cocktail bars, desserts, restaurants, cafes, french, beer, wine  spirits, mediterranean, nightlife, food, modern european, bars, american new","nightclub, cafe, bar, restaurant, food",nightclub
103,Elmyr,"1091 Euclid Ave NE, Atlanta, GA 30307",33.7635877,-84.3513296,0.705986284,"nightlife, dive bars, mexican, restaurants, bars","bar, restaurant, food",food
104,Extreme Teriyaki Grill Express,"1801 Howell Mill Rd NW #610, Atlanta, GA 30318",33.8041224,-84.4126267,0.5965531908,"japanese, restaurants, fast food, noodles","restaurant, food",food
105,hell yeah gluten free,"900 DeKalb Ave NE Suite 500, Atlanta, GA 30307",33.7549586,-84.3576796,0.8004994026,"food, cupcakes, glutenfree, restaurants, donuts, bakeries","bakery, food",food
106,Dunkin',"303 Peachtree St, Atlanta, GA 30303",33.762788,-84.385439,0.6793887383,"coffee  tea, restaurants, donuts, breakfast  brunch, food","bakery, cafe, mealtakeaway, restaurant, food",food
107,OK YAKI,"714 Moreland Ave SE Suite D, Atlanta, GA 30316",33.7348145,-84.3488241,0.7966769723,"restaurants, teppanyaki, street vendors, japanese, food, popup restaurants","restaurant, food",food
108,E Ramen +,"1110 W Peachtree St NW #300, Atlanta, GA 30309",33.7850497,-84.3882691,0.8361608514,"japanese, tapassmall plates, restaurants, ramen","restaurant, food",food
109,Aurora Coffee,"468 Moreland Ave NE, Atlanta, GA 30307",33.7670166,-84.349402,0.7691998056,"desserts, food, coffee  tea, sandwiches, restaurants","cafe, food",food
110,Jo's Grille,"2120 Johnson Ferry Rd NE, Atlanta, GA 30319",33.8929114,-84.3266534,0.6975312041,"seafood, burgers, fish  chips, salad, restaurants, american traditional, sandwiches, chicken wings","bar, restaurant, food",food
111,Bread & Butterfly,"290 Elizabeth St NE F, Atlanta, GA 30307",33.7624293,-84.3581661,0.768605591,"brasseries, bars, cocktail bars, nightlife, beer bar, restaurants, cafes, wine bars, breakfast  brunch, french","cafe, restaurant, food",food
112,Grant Park Coffeehouse,"337 Georgia Ave SE, Atlanta, GA 30312",33.7363261,-84.376622,0.7761667356,"coffee  tea, bakeries, food, restaurants, sandwiches, ice cream  frozen yogurt","cafe, restaurant, food",food
113,M&M’s Comfort Zone,"477 Flat Shoals Ave SE, Atlanta, GA 30316",33.7410039,-84.3464862,0.8185465529,"soul food, vegetarian, restaurants, comfort food","restaurant, food",food
114,Atlas,"88 W Paces Ferry Rd NW, Atlanta, GA 30305",33.8400195,-84.3825727,0.7571059411,"nightlife, bars, cocktail bars, american new, seafood, steakhouses, desserts, food, burgers, american traditional, tapassmall plates, restaurants","bar, restaurant, food",food
115,Dagu Rice Noodle (大鼓米线&奶茶.甜品）,"5090 Buford Hwy NE STE 110-111, Doraville, GA 30340",33.8916911,-84.2859507,0.7180866543,"specialty food, noodles, american new, restaurants, food","cafe, restaurant, food",food
116,Taco Mac Prado,"5600 Roswell Rd Ste M-003, Sandy Springs, GA 30342",33.9077863,-84.3796406,0.6054130685,"chicken wings, restaurants, food, sports bars, beer, wine  spirits, bars, texmex, american traditional, nightlife","restaurant, bar, food",food
117,Pupuseria Mi Tierra,"5090 Buford Hwy NE #102nd, Doraville, GA 30340",33.8913419,-84.285667,0.614224146,"restaurants, latin american","restaurant, food",food
118,Vickery's Bar & Grill - Glenwood Park,"933 Garrett St #101-102, Atlanta, GA 30316",33.7404894,-84.3573235,0.7719538607,"bars, american new, nightlife, restaurants, american traditional, breakfast  brunch","bar, restaurant, food",food
119,Morton's The Steakhouse,"303 Peachtree Center Ave NE, Atlanta, GA 30308",33.7629543,-84.3861274,0.7108672735,"american traditional, steakhouses, nightlife, bars, seafood, restaurants","restaurant, food",food
120,Pan American Bakery,"3671 Clairmont Rd, Atlanta, GA 30341",33.8670335,-84.3090267,0.7924038734,"food, bakeries, cuban, restaurants","bakery, food",food
121,Brew and Bird,"1355 Clairmont Rd, Decatur, GA 30033",33.7921953,-84.3051556,0.8021444064,"beer bar, nightlife, restaurants, bars, chicken wings, chicken shop","restaurant, food",food
122,South City Kitchen Midtown,"1144 Crescent Ave NE, Atlanta, GA 30309",33.7859545,-84.3844341,0.8823464987,"restaurants, american new, southern, breakfast  brunch, glutenfree","restaurant, bar, food",food
123,Sweet Auburn BBQ,"656 North Highland Avenue Northeast, Atlanta, GA 30306",33.7723098,-84.3526297,0.7956480387,"cocktail bars, nightlife, restaurants, barbeque, asian fusion, bars, sandwiches","restaurant, food",food
124,Waffle House,"4065 Peachtree Rd, Atlanta, GA 30319",33.8610887,-84.3391185,0.6109722089,"breakfast  brunch, diners, american new, american traditional, waffles, restaurants","mealtakeaway, restaurant, food",food
125,Thrive,"101 Marietta St NW, Atlanta, GA 30303",33.7568984,-84.3922913,0.6953379295,"bars, southern, japanese, nightlife, asian fusion, american new, lounges, restaurants, american traditional, seafood, sushi bars","restaurant, nightclub, bar, food",nightclub
126,Bar.bacoa,"1000 Virginia Ave NE, Atlanta, GA 30306",33.7824438,-84.3546534,0.8159936465,"mexican, restaurants, spanish, tapas bars, tapassmall plates, bars, nightlife","bar, restaurant, food",food
127,Kelly's Market,"308 E Howard Ave, Decatur, GA 30030, United States",33.7718937,-84.2924361,0.8250831206,"food, beer, wine  spirits, restaurants, sandwiches, convenience stores, delis, grocery","groceryorsupermarket, food",food
128,Cypress Street Pint & Plate,"817 W Peachtree St NW, Atlanta, GA 30308",33.7773253,-84.3861456,0.8100410587,"gastropubs, restaurants, burgers, nightlife, american new, salad, chicken wings, bars, beer bar, pubs","bar, mealdelivery, mealtakeaway, cafe, restaurant, food",food
129,Flower Child,"6400 Blue Stone Rd #170, Sandy Springs, GA 30328",33.9255246,-84.3818279,0.7720873402,"american new, restaurants, vegetarian, salad","restaurant, food",food
130,BURGER WIN,"1181 McPherson Ave SE, Atlanta, GA 30316",33.7429863,-84.3489399,0.7325523774,"burgers, restaurants, malaysian, chinese, chicken wings","restaurant, food",food
131,W. H. Stiles Fish Camp,"675 Ponce De Leon Ave NE, Atlanta, GA 30308",33.7728284,-84.3660396,0.7010838815,"seafood, sandwiches, fish  chips, restaurants","restaurant, food",food
132,Radio Roasters Coffee,"2969 E Ponce de Leon Ave Suite 320, Decatur, GA 30030",33.7829337,-84.2716764,0.7744284271,"restaurants, food, cafes, coffee roasteries, coffee  tea","cafe, food",food
133,Sushi Yoshino,"2150 Johnson Ferry Rd NE, Atlanta, GA 30319",33.8923276,-84.3254968,0.6752290397,"restaurants, sushi bars, japanese, food","restaurant, food",food
134,Ms. Iceys Kitchen & Bar,"1371 Clairmont Rd, Atlanta, GA 30033",33.7928998,-84.3050245,0.7611387284,"nightlife, caribbean, southern, bars, cambodian, restaurants","restaurant, food",food
135,Max's Coal Oven Pizzeria,"300 Marietta St NW, Atlanta, GA 30313",33.7615744,-84.3964315,0.7866649063,"salad, italian, pizza, restaurants","restaurant, food",food
136,Lyla Lila,"693 Peachtree St NE UNIT 118, Atlanta, GA 30308",33.7735708,-84.3846434,0.7865075121,"restaurants, italian","restaurant, food",food
137,Fontaine's Oyster House,"1026 1/2 North Highland Avenue Northeast, Atlanta, GA 30306",33.7826178,-84.3544907,0.7361588502,"liveraw food, soup, salad, seafood, nightlife, restaurants, dive bars, bars, cocktail bars, sports bars","bar, restaurant, food",food
