yelp_id,gmaps_id,gmaps_name,gmaps_address,gmaps_city,gmaps_zipcode,gmaps_latitude,gmaps_longitude,yelp_rating,yelp_rating_count,gmaps_rating,gmaps_rating_count,composite_score,yelp_types,gmaps_types,has at least one type (yelp/google)
c7QhpPHooglReT3aMPKIuw,ChIJQ4Lu83cH9YgRK88SiTL1-Uo,Gokul Sweets,"1707 Church Street, 8 C-8 C, Decatur, GA 30033, United States",Decatur,30033,33.7969582,-84.2809346,3,48,3.8,895,0.576073619,"Indian, Restaurants, Food, Bakeries, Desserts, Vegetarian","restaurant, food",1
78ocP9YyQFrYtIO1TTle2A,ChIJOcPQQEYF9YgR-9zl_N77fX8,Zunzi's,"1971 Howell Mill Rd, Atlanta, GA 30318",Atlanta,30318,33.8084873,-84.4126106,4.5,228,4.7,732,0.837859767,"African, Restaurants, Sandwiches, South African, Caterers, Event Planning & Services","restaurant, food",1
g054fm9YT05YWuWtZlomzg,ChIJ4fcQwpMO9YgRHBQEbIy-0Gg,Hearth Pizza Tavern,"5992 Roswell Rd NE, Sandy Springs, GA 30328",Sandy Springs,30328,33.918662,-84.381771,4,459,4.5,964,0.781523406,"Restaurants, Gastropubs, American (New), American (Traditional), Pizza","meal_delivery, meal_takeaway, bar, restaurant, food",1
GUKG5CboVhI_csCs52vGcA,ChIJq1aef34F9YgRec_j9m_pSZ8,Big Easy Snoballs,"728 Monroe Dr NE ste a, Atlanta, GA 30308, United States",Atlanta,30308,33.7743895,-84.3712122,4,33,4,204,0.6750596723,"Shaved Snow, Shaved Ice, Juice Bars & Smoothies, Desserts, Restaurants, Cajun/Creole, Food",food,1
bSy6VVJIdYPza1Bj9_Eicw,ChIJmWtiNYwF9YgRmK90Q2MB4oI,The Capital Grille,"255 East Paces Ferry Rd NE, Atlanta, GA 30305",Atlanta,30305,33.8388289,-84.3791169,4.5,470,4.7,1442,0.8560780234,"American (Traditional), Bars, Steakhouses, Seafood, Wine Bars, Restaurants, Nightlife","bar, restaurant, food",1
fGcb71-JEWUhasyc9vUxuw,ChIJbbz2tT0E9YgR9wdL4GlVGc0,Mediterranean Grill,"985 Monroe Dr NE, Atlanta, GA 30308",Atlanta,30308,33.781347,-84.36833,4,314,4.3,682,0.7520616943,"Mediterranean, Restaurants, Middle Eastern, Greek","restaurant, food",1
IXi0TYqFJJUIzUaUs_OX1A,ChIJL6awr2UP9YgReeAQ-x0EBnQ,Panera Bread,"3714 Roswell Rd NE, Atlanta, GA 30342",Atlanta,30342,33.856526,-84.382783,2.5,61,3.4,379,0.48078768,"Soup, Salad, Bakeries, Bagels, Breakfast & Brunch, Restaurants, Food, Sandwiches, American (Traditional)","cafe, meal_takeaway, bakery, restaurant, food",1
MDtuW6dXzF8-6xjwaBpRvQ,ChIJQab4HfgD9YgRSiCedOs3fi0,Bell Street Burritos,"112 Krog St NE #1A, Atlanta, GA 30307",Atlanta,30307,33.7558284,-84.3650359,3.5,114,4.2,568,0.6745571608,"Mexican, Restaurants","restaurant, food",1
wKZG12fknq8L7Lq68N_WcQ,ChIJK1vEDJYI9YgRz1hxW1ZzjLY,The One Sushi+,"2523 Caldwell Rd NE Ste 1000, Brookhaven, GA 30319",Brookhaven,30319,33.8611683,-84.3319536,4,318,4.2,273,0.7327484893,"Salad, Thai, Restaurants, Asian Fusion, Sushi Bars, Tapas Bars, Japanese","restaurant, food",1
Ky12BdI2NePHGvkDhoeXFQ,ChIJ1_xvcY4F9YgRt4Fsgwz-ENY,Gypsy Kitchen,"3035 Peachtree Rd NE Ste A209, Atlanta, GA 30305",Atlanta,30305,33.8379035,-84.3806417,4,643,4.6,2881,0.8081239645,"Restaurants, Spanish, Tapas/Small Plates, Moroccan, Cocktail Bars, Bars, Nightlife","bar, restaurant, food",1
j0VWgf2QhoxpTLnODZxnnw,ChIJ_foE_xUH9YgRYwptlBj6-7E,Sidechick,"125 Clairemont Ave, Decatur, GA 30030",Decatur,30030,33.7764512,-84.2959594,4.5,145,4.4,220,0.7884076689,"Salad, Sandwiches, American (New), Diners, Restaurants, American (Traditional), Chicken Shop, Breakfast & Brunch","restaurant, food",1
22hj4BnHMOmQDfnwyGSANA,ChIJAUkQkcEJ9YgRqyllAaR3ml8,Yebisuya,"6035 Peachtree Rd #A-105, Doraville, GA 30360",Doraville,30360,33.9078137,-84.286817,3.5,180,4.2,736,0.6842739378,"Nightlife, Ramen, Restaurants, Sushi Bars, Japanese, Bars, Asian Fusion","restaurant, food",1
TrGRWcKEn5xZtOCMmoCQcg,ChIJOXcoQj4H9YgRJsVelsDUZ6U,Calle Latina,"627 E College Ave Suite A, Decatur, GA 30030",Decatur,30030,33.7732744,-84.2856253,4,304,4.3,784,0.7530111567,"Peruvian, Desserts, Caterers, Restaurants, Specialty Food, Food, Latin American, Event Planning & Services, Ethnic Food","restaurant, food",1
7VXBO4zwHHyPqQlS_uOayQ,ChIJA2wAvhAE9YgRTKeHlLSA7Fk,Minero,"675 Ponce De Leon Ave NE UNIT 136, Atlanta, GA 30308",Atlanta,30308,33.7728558,-84.3657408,3.5,468,4.1,1163,0.6937753094,"Restaurants, Mexican, Nightlife, Bars","restaurant, food",1
#NAME?,ChIJeSdI_2oF9YgRZFC4xO1Bbk0,Starbucks,"550 Peachtree St NE, Atlanta, GA 30308",Atlanta,30308,33.7685663,-84.3861178,2.5,46,3.9,24,0.4981684657,"Food, Food Stands, Sandwiches, Coffee & Tea, Restaurants","cafe, food",1
gGGMXH8kSnEkbezDIdyKmg,ChIJBwuJ8kIF9YgRbG2qpVzSzjM,Aviva by Kameel Midtown,"756 W Peachtree St NW suite G, Atlanta, GA 30332",Atlanta,30332,33.7755261,-84.3880798,5,20,4.8,411,0.8548650228,"Restaurants, Middle Eastern, Mediterranean","restaurant, food",1
BeYRm-ltPXo0zgrk5gaJpA,ChIJ1_R5alcP9YgRHsXjiCvg0Q8,Trade Root,"3434 Peachtree Rd NE, Atlanta, GA 30326",Atlanta,30326,33.8505771,-84.3636634,3.5,14,4.1,37,0.6048419428,"Southern, Restaurants, Mediterranean, American (New)","restaurant, food",1
boPIehJqIK-c62FdWvApXw,ChIJ1w1o388J9YgRJQo8_sYxWyk,Mozart Bakery,"5301 Buford Hwy NE, Atlanta, GA 30340",Atlanta,30340,33.8967006,-84.2808411,3.5,130,4.1,287,0.6594856156,"Korean, Bakeries, Food, Restaurants, Bubble Tea","bakery, cafe, food",1
jWgIJ33n6K7LDUtucE5QXA,ChIJQUvv7tsJ9YgRqwFhrqLYluQ,La Casona Colombian Restaurant,"3820 Stewart Rd, Doraville, GA 30340",Doraville,30340,33.9027158,-84.2759199,4,112,4.3,1170,0.7417990849,"Mexican, Latin American, Restaurants, Colombian","restaurant, food",1
kdcnUiHns8Ni04Vl6VOikQ,ChIJnfPLv18P9YgR7mYOO_Z0b44,Blue Ridge Grill,"1261 W Paces Ferry Rd NW, Atlanta, GA 30327",Atlanta,30327,33.8496473,-84.4292192,4,207,4.6,810,0.7774230822,"Bars, Seafood, American (New), Restaurants, Nightlife, American (Traditional), Steakhouses","restaurant, food",1
j_auWfMqHcOi6DiYg-RxLA,ChIJx9EaGRoE9YgR7Je8EHoBBRo,Chipotle Mexican Grill,"718 Ponce De Leon Ave NE, Atlanta, GA 30306",Atlanta,30306,33.7739218,-84.3635653,2.5,227,3.5,1868,0.5275363615,"Restaurants, Fast Food, Mexican","restaurant, food",1
OfTuwieBPSEAYfEW12-oZA,ChIJhTB2zsEJ9YgRWRrXTeR0l5w,Snackboxe Bistro,"6035 Peachtree Rd Suite C-114, Doraville, GA 30360",Doraville,30360,33.9090083,-84.288057,4,310,4.5,609,0.7706870387,"Soup, Laotian, Asian Fusion, Restaurants","restaurant, food",1
qZM0JJpFNOCajK0_-ompmw,ChIJx6kex_wD9YgRIouzCOksbmU,Muchacho,"904 Memorial Dr SE, Atlanta, GA 30316",Atlanta,30316,33.7467732,-84.3579816,4,209,4.4,1354,0.762914857,"Food, Cafes, Restaurants, Coffee Roasteries, Mexican, Tacos, Coffee & Tea","bar, cafe, restaurant, food",1
dkMHVN7usF67fleQzfMH6Q,ChIJDc1o0FIP9YgR9qnUum3iL5Y,Nuts 'n Berries,"4274 Peachtree Rd, Brookhaven, GA 30319, United States",Brookhaven,30319,33.8679911,-84.335668,4.5,30,4.7,74,0.7831612771,"Food, Nutritionists, Counseling & Mental Health, Fruits & Veggies, Local Flavor, Restaurants, Fitness & Instruction, Health & Medical, Specialty Food, Yoga, Active Life, Vegetarian, Gyms, Health Markets",health,1
3ZVgig7uux9jVtEZna5NgA,ChIJkW7jafEF9YgRbuurmhrQC00,Kyma,"3085 Piedmont Rd NE, Atlanta, GA 30305",Atlanta,30305,33.839858,-84.3690368,4,508,4.4,1094,0.7744065276,"Vegan, Restaurants, Seafood, Mediterranean, Greek","bar, restaurant, food",1
WVd6h5r-xiySmBoEFTOZKA,ChIJH5ygHV0J9YgR3EU-bZVN6-k,The Brass Tap,"4505 Ashford Dunwoody Rd Suite 32, Atlanta, GA 30346",Atlanta,30346,33.9248539,-84.3360458,3.5,124,4.3,842,0.6899405611,"Sports Bars, Restaurants, Beer Bar, Gastropubs, Burgers, American (New), Beer Gardens, Nightlife, Salad, Mediterranean, Bars",bar,1
hC8tjO56pqSynapvplVe3Q,ChIJ3dQwth4F9YgR4fMnOQyy_LY,McDonald's,"1994 Howell Mill Rd, Atlanta, GA 30318",Atlanta,30318,33.8092173,-84.4132282,1.5,50,3.1,1249,0.3601593695,"Fast Food, Burgers, Restaurants, Coffee & Tea, Food","restaurant, cafe, food",1
_iqFvc3zToL08WZrNeFP3Q,ChIJ07TVp0ME9YgRmzH4SKordbc,STK Steakhouse,"1075 Peachtree St NE, Atlanta, GA 30309",Atlanta,30309,33.7840453,-84.3827642,4,1199,4.5,13297,0.8236805563,"Nightlife, Steakhouses, Bars, Fast Food, Cocktail Bars, Restaurants, American (New)","night_club, bar, restaurant, food",1
ptaI45_CQ-FFw5_r85xUdg,ChIJfTK9iWcE9YgRXwVbE8uuS18,Marlow's Tavern,"950 W Peachtree St NW #215, Atlanta, GA 30309",Atlanta,30309,33.7796863,-84.3874931,4,564,4.4,1998,0.7822888313,"Restaurants, Bars, Pubs, Nightlife, American (New), Burgers, Gastropubs","beauty_salon, bar, restaurant, food",1
kzI-UeuLWwjOu6mwZ_3dyA,ChIJHyiSb2AJ9YgR4hXzEGdTVc0,The Bird,"4719 Ashford Dunwoody Rd Suite 101, Dunwoody, GA 30338",Dunwoody,30338,33.931956,-84.3324065,3.5,84,4.3,448,0.6774105024,"Bars, Nightlife, Restaurants, American (Traditional), Chicken Wings, Sports Bars","bar, restaurant, food",1
6vjSfouvB1gxZumlzsnQSA,ChIJD-rdNYED9YgRruCclpqiW4I,Summit Cafeteria,"30 Marietta St NW, Atlanta, GA 30303",Atlanta,30303,33.7549918,-84.3908743,2.5,9,4.2,356,0.5318843448,"Restaurants, Barbeque, American (Traditional)","restaurant, food",1
xCWwaGpb6YJoErcADJM6rA,ChIJUc63DkIG9YgR3CxI5cTHxrI,Mellow Mushroom Atlanta - Emory,"1679 Lavista Rd NE, Atlanta, GA 30329",Atlanta,30329,33.816166,-84.332824,4,204,4.3,946,0.7488120634,"Pizza, Restaurants, Nightlife, Bars, Sandwiches","restaurant, food",1
vtNjXEn0UgTF0CI3Io5ZeQ,ChIJJ1BkW6AG9YgR4Rc4kscOPC4,The Warren City Club,"818 North Highland Avenue Northeast, Atlanta, GA 30306, United States",Atlanta,30306,33.7768488,-84.3526178,3.5,93,4.3,268,0.6736355604,"Bars, Venues & Event Spaces, Event Planning & Services, Breakfast & Brunch, Nightlife, American (New), Restaurants, Lounges","night_club, bar, restaurant, food",1
TWrjCaozOU_D3lTjT9_99A,ChIJT9fzQXgE9YgRh3qCiYyrNJI,Hard Rock Cafe,"215 Peachtree St NE, Atlanta, GA 30303",Atlanta,30303,33.7598163,-84.3874499,3,487,4.1,6345,0.6620460777,"Restaurants, Venues & Event Spaces, Burgers, Event Planning & Services, Arts & Entertainment, American (New), Music Venues, American (Traditional), Nightlife","bar, restaurant, food",1
24VAjD2pvFPJw5puUx2khA,ChIJ34D1pboP9YgROlN7iDG53rU,Fia Restaurant,"3600 Piedmont Rd NE, Atlanta, GA 30305",Atlanta,30305,33.8525078,-84.3813308,4.5,55,4.6,208,0.7929877818,"Restaurants, American (New), Mediterranean, Seafood","restaurant, food",1
4sjIZNWE9CuwcTxMj8Xfvw,ChIJ44V6YncJ9YgReLJTiMteAaQ,Vino Venue,"Shopping Center, 4478 Chamblee Dunwoody Road Georgetown, Atlanta, GA 30338, United States",Atlanta,30338,33.9211942,-84.3158932,4,163,4.6,147,0.7560338711,"Arts & Crafts, Nightlife, American (New), Cooking Classes, Bars, Education, Tasting Classes, Wine Tasting Classes, Cooking Schools, Restaurants, Tapas Bars, Shopping, Specialty Schools, Wine Bars","restaurant, liquor_store, bar, food",1
G04VFGY1kaN2jZYXUrbRbg,ChIJOWnIdCAM9YgR-Kf_jgsUMHc,Abuelos Mexican Kitchen and Cantina,"6631 Roswell Rd, Sandy Springs, GA 30328",Sandy Springs,30328,33.936241,-84.376587,4,199,4.4,836,0.7571442589,"Seafood, Soup, Tapas Bars, New Mexican Cuisine, Tex-Mex, Mexican, Restaurants, Salad","bar, restaurant, food",1
_lEHolD7sVt4-SnbuuAgcA,ChIJxRgrY5ME9YgRcltyIvXeq8A,Eight Sushi Lounge,"930 Howell Mill Rd NW, Atlanta, GA 30318",Atlanta,30318,33.7800074,-84.4118482,4.5,909,4.7,1844,0.8688347414,"Cocktail Bars, Lounges, Bars, Restaurants, Japanese, Nightlife, Sushi Bars","restaurant, food",1
pWxDQFGkzUKuFuz-oNulXw,ChIJ35ESWtoJ9YgRAftyLyrRQws,Happy Karaoke,"5425 Buford Hwy NE, Doraville, GA 30340",Doraville,30340,33.9000858,-84.2772021,3.5,113,4.1,532,0.6637414989,"Bars, Korean, Nightlife, Karaoke, Afghan, Restaurants","night_club, bar, restaurant, food",1
mUYx6CkbQLp3KCjF5LfSIw,ChIJj4SHuGUP9YgR3KGyatmc3qo,The Ivy,"3717 Roswell Rd, Atlanta, GA 30342",Atlanta,30342,33.8564887,-84.3822079,3,181,4.1,807,0.6253167524,"Sports Bars, Bars, American (New), Venues & Event Spaces, Restaurants, Event Planning & Services, Food, Nightlife, Gastropubs","bar, restaurant, food",1
ouGTSelPlQwWURHJeAyk5w,ChIJwZY5KXgE9YgR-xKMdXMj_no,Gibney's Pub,"231 Peachtree Center Ave NE, Atlanta, GA 30303",Atlanta,30303,33.7603573,-84.3862048,3.5,218,4.1,1035,0.6807701427,"Pubs, Nightlife, Restaurants, Bars, American (Traditional)","restaurant, bar, food",1
iPKmtXMyqzk_uK26Hxk0MA,ChIJRdGAHUQD9YgRfddZIRjNQeo,Sweet-Stack Creamery,"25 Piedmont Ave NE, Atlanta, GA 30303, United States",Atlanta,30303,33.7552212,-84.3820736,4.5,284,4.3,533,0.7979498772,"Restaurants, Ice Cream & Frozen Yogurt, Desserts, Vegan, Food, Donuts","bakery, tourist_attraction, restaurant, food",1
gZUaF1vSUvUadpbRUvHYqQ,ChIJg-OadUME9YgRlZVV3KbdusI,The Oceanaire Seafood Room,"1100 Peachtree St NE, Atlanta, GA 30309",Atlanta,30309,33.7846271,-84.3832344,3.5,447,4.3,1703,0.717033552,"Seafood, Restaurants, American (Traditional)","restaurant, food",1
K2KLY2Ita4Av0jkJFXFBPQ,ChIJvdNpzpQO9YgRu86kWDuzqoI,Double Zero,"1577 N Decatur Rd, Atlanta, GA 30307",Atlanta,30307,33.7879758,-84.3261946,4,169,4.6,857,0.774885608,"Italian, Restaurants, Pizza, Bars, Cocktail Bars, Nightlife, American (New)","restaurant, food",1
Oh3cSU8SxTusGKGcjTkWCQ,ChIJ_ypiix4F9YgRTVaO3QXzpxg,Willy's Mexicana Grill,"1920 Howell Mill Rd NW, Atlanta, GA 30318",Atlanta,30318,33.8072884,-84.4131375,3.5,95,4.4,1058,0.6982277991,"Restaurants, Mexican, Fast Food","restaurant, food",1
UDGvoDycG7I9osVIXvUwZQ,ChIJDYKGgZAO9YgR59RsH-O-nss,Little Thai Cuisine,"220 Sandy Springs Cir #209, Sandy Springs, GA 30328",Sandy Springs,30328,33.9256733,-84.3834892,4,263,4.3,615,0.748251797,"Noodles, Restaurants, Soup, Thai","restaurant, food",1
ldvPr7TxCAdPHpnr5cDrNw,ChIJkSmbIs0F9YgR-gRLLgU6Tqg,Twin Peaks,"3365 Piedmont Rd NE, Atlanta, GA 30305",Atlanta,30305,33.8474539,-84.372827,3,592,4.4,5833,0.694188051,"Bars, American (Traditional), Sports Bars, Nightlife, Comfort Food, American (New), Restaurants","bar, restaurant, food",1
foo5OSd_H0xLGvCrtor4gA,ChIJo1urGO4G9YgRfTe-O1aEnL4,Chipotle Mexican Grill,"1401 Oxford Rd NE, Atlanta, GA 30307",Atlanta,30307,33.7886373,-84.3266597,3,71,3.3,436,0.5245581867,"Restaurants, Mexican, Fast Food","restaurant, food",1
_2LfhO4Mqa-owUtSFgSblA,ChIJExHbVgEE9YgRr3C4gEB_4_8,BeetleCat,"299 North Highland Avenue Northeast, Atlanta, GA 30307",Atlanta,30307,33.7626776,-84.3582131,4,845,4.5,2204,0.7995611388,"Seafood, Desserts, Restaurants, Bars, Food, Nightlife","bar, restaurant, food",1
Ycjj72M8c9UM7HvQ7JaqHA,ChIJUakIIF6n9YgRC7d4ojj40Qg,Bellaggio's Ice-Cream,"5805 Buford Hwy NE # C1, Doraville, GA 30340, United States",Doraville,30340,33.9088107,-84.2663051,4.5,5,4.6,39,0.7723741336,"Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, Mexican, Latin American, Food, Restaurants",food,1
eXFhL1aOyXP2aoU8qgC26Q,ChIJK8l_oLMH9YgRD86b_018EQo,Goldbergs Fine Foods - Toco Hills,"3003 N Druid Hills Rd, Atlanta, GA 30329",Atlanta,30329,33.8131678,-84.3101588,3.5,332,4.4,797,0.7145422163,"Event Planning & Services, Bagels, Food, Restaurants, Delis, Caterers, Sandwiches","restaurant, bakery, food",1
hEH1IAmc34s3NTgQMY-iwA,ChIJTey2Fj4H9YgRH5LEatMQhxU,no. 246,"129 E Ponce de Leon Ave, Decatur, GA 30030",Decatur,30030,33.775504,-84.2953432,4,683,4.6,1125,0.7992731632,"Restaurants, Chinese, Italian","bar, restaurant, food",1
tYl4Ub7wKye1D0CR8yLxHw,ChIJ87OD1gQJ9YgRw9Pb3yTq7mY,Crazy Skewers,"6035 Peachtree Rd A118, Doraville, GA 30360",Doraville,30360,33.9075172,-84.2875637,4,8,4.3,231,0.685765917,"Barbers, Chinese, Beauty & Spas, Restaurants, Hot Pot, Asian Fusion","restaurant, food",1
6J-lSviMGkXXPldhncba_Q,ChIJCQfrG2EG9YgR4nvlXQ1Cep8,Thaicoon & Sushi Bar,"1799 Briarcliff Rd NE Suite W, Atlanta, GA 30306",Atlanta,30306,33.8044728,-84.3355967,4,362,4.5,670,0.7740734172,"Restaurants, Sushi Bars, Thai, Japanese","restaurant, food",1
lkDa4a8i5gpxxXgdOLyPZg,ChIJIfNRZPEF9YgRlWm3MZodp1U,Buckhead Bread Company,"3070 Piedmont Rd NE, Atlanta, GA 30305",Atlanta,30305,33.8392118,-84.3694866,3,67,4.5,150,0.6326103309,"Food, Restaurants, Bakeries","bakery, food",1
lZ9xOCyw0e4PK7pAximc-w,ChIJ5z6hupQO9YgRWQv0Saa4_J8,Tropical Smoothie Cafe,"5840 Roswell Rd, Sandy Springs, GA 30328",Sandy Springs,30328,33.914766,-84.380175,2.5,35,4,284,0.5293748196,"Specialty Food, Juice Bars & Smoothies, Restaurants, Sandwiches, Cafes, Wraps, Health Markets, Food","cafe, restaurant, food",1
vA8cbsYNex_24s2rXsg2GQ,ChIJZ1BIovoF9YgRE-VsD_pb4FU,NM Cafe,"3393 Peachtree Rd NE, Atlanta, GA 30326",Atlanta,30326,33.8462008,-84.363801,3.5,34,4.3,31,0.6361733983,"American (New), Restaurants, Cafes","restaurant, cafe, bar, food",1
